,Company name,"Gearing (%)
2018",BvD Independence Indicator,"Number of employees
2018","Profit (Loss) before Taxation
th GBP 2018","Tangible Assets
th GBP 2018","Fixed Assets
th GBP 2018"
1097,GRANITE COAST LTD,137.72,D,7,286,20,295
1098,ABRAXAS INSURANCE ADMINISTRATION SERVICES LTD,2.15,D,63,"1,530",18,18
1099,THORNFIELD CARE LIMITED,74.98,D,43,178,"3,306","3,306"
1100,M-SPORT LIMITED,29.17,D,286,"-1,916","20,470","26,207"
1101,CHRISTEYNS FOOD HYGIENE LTD,2.57,D,68,605,918,"1,013"
1102,RUNWOOD HOMES LIMITED,95.27,D,"4,387","4,621","322,844","322,924"
1103,FORPEOPLE LIMITED,5.85,B+,103,"3,120",807,813
1104,BELLEVUE EDUCATION INTERNATIONAL LIMITED,150.83,D,615,145,"27,545","40,300"
1105,CAREBASE (GUILDFORD) LIMITED,128.01,D,91,"1,799","12,942","12,942"
1106,MERIT GROUP SERVICES LIMITED,,D,122,"3,119",932,932
1107,B.F.A. RECYCLING LIMITED,15.75,D,30,"1,765","2,646","2,748"
1108,MULTIVAC U.K. LIMITED,46.03,D,141,"2,907","2,725","2,725"
1109,SPECIALISED WIRING ACCESSORIES LIMITED,185.12,D,62,128,720,829
1110,CARGO MARKETING SERVICES LIMITED,4.61,D,78,612,"1,254","1,548"
1111,DAWNFRESH HOLDINGS LIMITED,23.09,D,591,"-7,380","23,695","24,526"
1112,LANEMILE LIMITED,128.36,D,141,342,"3,152","3,152"
1113,BOVILL & BOYD (ENGINEERING) LIMITED,16.29,D,17,276,250,250
1114,OSSETT BREWERY PUB COMPANY LIMITED,106.59,D,198,"1,102","4,850","5,163"
1115,APOLLO WINDOW BLINDS LTD,126.55,D,8,119,3,3
1116,BLACKDOWN MOTOR COMPANY LIMITED,147.41,D,82,101,"1,848","1,848"
1117,ELSTER METERING LIMITED,52.81,D,127,"7,791","1,732","1,732"
1118,AFFINITY WATER HOLDCO FINANCE LIMITED,673.06,D,"1,357","35,946","1,375,366","1,550,602"
1119,CRYSTAL MARTIN INTERNATIONAL LIMITED,190.03,D,286,"-5,623","1,581","1,581"
1120,DLF SEEDS LTD.,269.41,D,97,"1,445","4,429","4,703"
1121,BLOCK SOLUTIONS LIMITED,108.95,D,93,"2,395",540,540
1122,BABY NETWORK LIMITED,1.19,D,15,"14,550",33,33
1123,HARRISONS DAIRIES LIMITED,41.77,D,190,735,"3,719","4,722"
1124,JW FROEHLICH UK LIMITED,4.77,D,93,491,"1,184","1,703"
1125,LVMH FRAGRANCE BRANDS UK LIMITED,223.93,C,137,115,"1,519","1,519"
1126,BAKERS WASTE SERVICES LTD,367.75,D,100,203,"6,237","6,532"
1127,EGGLESTON STEEL LIMITED,129.62,B+,56,168,"3,084","3,084"
1128,VAISALA LIMITED,107.73,D,55,758,57,57
1129,IF ONLY HOLIDAYS LIMITED,7.4,D,65,18,36,754
1130,IAN SMITH GROUP LIMITED,152.95,D,78,348,930,"1,002"
1131,NATIONAL NUCLEAR LABORATORY LIMITED,81.82,D,830,415,"64,258","70,784"
1132,DS SMITH CORRUGATED PACKAGING LIMITED,89.54,D,579,"10,852","22,326","24,622"
1133,DAVIES AND PARTNERS SOLICITORS LIMITED,243.37,B+,197,855,167,167
1134,RICHARD READ HOLDINGS LIMITED,39.89,B+,62,-255,"5,514","5,514"
1135,STERLING PROPERTY CO. LIMITED,10.13,D,26,"4,291",202,"2,786"
1136,KENSINGTON DEVELOPMENTS LIMITED,665.53,D,36,862,29,29
1137,AGRI AND INDUSTRIAL RUBBER LIMITED,13.59,D,28,733,"2,172","2,195"
1138,KINGSTON TECHNOLOGY HOLDINGS LIMITED,110.04,D,"2,179","88,403","77,672","77,672"
1139,SMART SOLUTIONS (RECRUITMENT) LIMITED,458.49,D,"1,394","1,500",900,"1,453"
1140,HALSTEAD ENTERPRISES LIMITED,151.07,B+,74,"1,120","5,132","6,874"
1141,SENIOR UK LIMITED,54.14,D,"1,264","12,666","19,590","97,526"
1142,HEYGATES COUNTRY FEEDS LIMITED,87.11,D,46,-166,533,716
1143,RANWORTH FARMS LIMITED,0.11,A+,4,-16,"1,256","1,265"
1144,AETN UK,217.91,C+,210,"-1,773","7,669","10,864"
1145,SUMMERHILL SERVICES LIMITED,242.18,A+,95,-788,"68,507","68,507"
1146,MYWALIT (UK) LIMITED,9.75,D,57,2,"1,058","1,117"
1147,WILLOWS INGREDIENTS LIMITED,169.6,U,20,547,268,286
1148,LEE OIL (CORK) LIMITED,4.19,B+,8,-6,56,56
1149,HARWIN PLC,23.79,D,155,"6,027","12,659","12,659"
1150,MAXXIS INTERNATIONAL (UK) PLC,40.51,A+,47,125,"2,401","2,451"
1151,ALL METAL SERVICES LIMITED,42.96,C,307,775,"5,651","7,024"
1152,ANUPCO LIMITED,11.92,D,19,-166,"1,119","1,119"
1153,LAKESIDE FOOD GROUP LIMITED,622.55,D,31,271,358,471
1154,DAI GLOBAL UK LTD,895.1,D,160,"-2,467","1,047","4,600"
1155,VITA LIQUID POLYMERS LIMITED,81.72,D,29,-292,"1,576","1,576"
1156,ROM GROUP LIMITED,187.22,D,260,"1,617","7,139","7,139"
1157,IMREM LIMITED,22.43,B+,3,362,"2,109","2,109"
1158,DE DIETRICH PROCESS SYSTEMS LIMITED,371.74,D,22,-56,46,46
1159,HARRON GROUP LIMITED,19.51,B+,224,"18,009","1,411","1,484"
1160,WELCOME BREAK SERVICES LIMITED,105.01,D,143,"1,113","38,027","49,888"
1161,BLUE SKIES (UK) LIMITED,7.7,D,149,"1,601",904,904
1162,JOHN MILLS LIMITED,137.21,D,239,"1,607","1,456","2,705"
1163,EBDA INVESTMENT GROUP LIMITED,96.83,D,36,654,"1,977","1,978"
1164,IFC HOLDINGS LIMITED,72.76,B+,726,283,"10,042","10,048"
1165,LONDON CO MEDIA LIMITED,29.21,D,26,98,161,613
1166,STERLING PHARMA SOLUTIONS LIMITED,110.08,D,366,"9,628","21,786","21,786"
1167,NUVIAS GROUP LIMITED,97.37,D,497,"1,417","1,689","29,968"
1168,HAYAKAWA INTERNATIONAL (UK) LIMITED,13.51,D,32,"2,660",455,455
1169,RANGELAND FOODS LIMITED,56.21,D,65,148,"3,553","3,553"
1170,LAW AT WORK LIMITED,8.17,D,35,,47,496
1171,CHMC LIMITED,54.06,D,475,"3,114",34,"4,937"
1172,FRENKEL TOPPING GROUP PLC,0.36,A+,67,"1,144","1,424","8,454"
1173,GLENMARK PHARMACEUTICALS EUROPE LIMITED,236.89,C,83,"2,023",259,"7,144"
1174,FAIRFAX PLANT HIRE LIMITED,256.63,D,79,"2,647","29,364","29,364"
1175,ESI UK LIMITED,125.71,D,18,138,24,24
1176,ONOMI LIMITED,67.28,D,8,218,5,5
1177,BLUEWATER BIO LIMITED,10.63,D,19,"1,033",48,633
1178,OXFORD FLOW LIMITED,7.96,B+,12,"-1,942",721,721
1179,GALLAGHERS MOTOR COMPANY LIMITED,57.51,D,42,115,"1,330","2,409"
1180,N.E.M. CO. LIMITED,25.52,B+,131,708,"1,577","1,577"
1181,LOWY HOLDINGS LIMITED,55.22,D,179,172,"27,950","27,950"
1182,PROMINENT (EUROPE) LIMITED,245.87,D,210,964,477,871
1183,HS BUTYL LIMITED,77.21,D,134,"1,287","3,254","3,497"
1184,SWECO BUILDING CONTROL LIMITED,6.57,D,84,70,305,305
1185,THOMAS'S GROUP (BIRMINGHAM) LIMITED,157.41,D,53,"1,168","18,636","18,711"
1186,CASTELLI UK LIMITED,443.9,D,12,"1,192",24,24
1187,JIFFY PACKAGING COMPANY LIMITED,37.89,C,125,-206,"2,773","2,925"
1188,FIREFISH LIMITED,4.86,D,69,468,278,315
1189,SONARDYNE INTERNATIONAL LIMITED,3.2,D,232,"1,964","8,616","9,253"
1190,NEWMARKET PLANT HIRE LIMITED,74.07,D,64,753,"8,271","8,343"
1191,JOHN DEERE FORESTRY LIMITED,12.18,D,29,"1,231",516,516
1192,AUTO-TRAIL V.R. LIMITED,12.18,D,252,"12,803","2,210","2,264"
1193,SME HOLDINGS LIMITED,146.79,D,"1,012","3,100","29,066","31,351"
1194,CREDICO HOLDINGS LIMITED,116.81,D,227,"18,900","4,300","8,700"
1195,NEWTON IT HOLDINGS LIMITED,0.21,A+,29,-64,63,181
1196,BALGUARD ENGINEERING LIMITED,23.44,D,52,678,466,466
1197,EDE & RAVENSCROFT LIMITED,4.76,D,580,"1,675","8,312","22,523"
1198,APPLICATION SOLUTIONS (SAFETY AND SECURITY) LIMITED,9.86,B+,77,"1,415",159,172
1199,NO ORDINARY DESIGNER LABEL LIMITED,72.12,D,"2,075","52,365","39,170","84,024"
1200,R-BIOPHARM RHONE LIMITED,15.2,D,63,"2,180","2,580","2,580"
1201,WALKAIR LIMITED,26.32,D,16,126,886,886
1202,GALLAGHER DEVELOPMENTS GROUP LIMITED,24.17,D,2,686,60,"60,853"
1203,INTS UK LIMITED,31.24,D,22,"-1,415",272,273
1204,CROSS & WELLS LIMITED,5.98,D,222,600,594,594
1205,IVOR SEARLE LIMITED,24.43,B+,103,883,816,816
1206,JOHNSTON AND JEFF LIMITED,20.07,D,45,733,"2,595","2,595"
1207,CORRIGENDA LIMITED,62.11,D,117,692,663,663
1208,PARK PLAZA HOSPITALITY SERVICES (UK) LIMITED,1.49,D,219,"4,061","12,829","12,829"
1209,LANDMARK HOTEL LONDON LIMITED,440.2,D,483,"7,249","193,864","193,864"
1210,CWM ENVIRONMENTAL LTD.,117.63,D,68,-959,"8,863","8,863"
1211,REED SMITH LLP,161.98,A-,642,"73,680","7,473","7,473"
1212,SOMERS FORGE LIMITED,18.88,D,125,810,"5,480","5,929"
1213,THE ARDEN HOTEL LIMITED,116.19,A+,141,"1,286","7,133","7,183"
1214,FRENKEL TOPPING LIMITED,109.9,D,62,950,29,29
1215,AXIOM VETERINARY LABORATORIES LIMITED,37.5,D,109,625,328,402
1216,BLUE MACHINERY (CENTRAL) LIMITED,261.51,D,28,997,"1,784","1,784"
1217,1SPATIAL PLC,43.9,A+,206,"-1,956",333,"10,873"
1218,MARCLIFFE HOTEL LIMITED,41.11,D,199,197,"11,040","11,290"
1219,LOGICALIS GROUP LIMITED,131.03,D,"4,394","30,012","34,270","215,685"
1220,CELTIC SHEEPSKIN & CO LTD.,1.5,D,41,628,63,70
1221,LIBERTY FABRIC LIMITED,69.22,D,27,"2,218",599,"16,679"
1222,COORDINATION GROUP PUBLICATIONS LTD,0.14,D,227,"14,329","5,560","10,153"
1223,SIMUDYNE HOLDINGS LTD,0.04,A+,19,"-2,262",44,45
1224,"BATTLE,HAYWARD AND BOWER,LIMITED",0.77,D,130,326,"1,479","1,524"
1225,BLACKROW ENGINEERING CO. LIMITED,60.16,D,128,"1,033",908,908
1226,VEOLIA ENERGY CLEANPOWER ONE UK LIMITED,54.64,D,4,-660,556,556
1227,STUDIO LAMBERT LIMITED,1.34,D,49,"3,355",190,190
1228,KIER BUSINESS SERVICES LIMITED,314.99,D,756,"-7,365",83,"4,948"
1229,C.F.STRUTHERS LIMITED,2.47,D,79,197,"2,375","2,375"
1230,AKAAL GROUP LIMITED,8.92,D,288,"13,027","9,051","18,717"
1231,INTERNATIONAL TIN ASSOCIATION LTD,5.12,A-,22,-573,165,165
1232,BRIGADE ELECTRONICS GROUP PLC,10.27,D,176,"4,845","1,436","1,462"
1233,TOP NOTCH CONTRACTORS LIMITED,208.55,B+,107,99,424,629
1234,W. & G. FOYLE LIMITED,22.81,D,189,"-1,198","1,848","1,902"
1235,LION STEEL EQUIPMENT LIMITED,4.76,D,141,"1,381","1,848","1,848"
1236,SUPACAT LIMITED,49.13,D,124,463,373,"7,020"
1237,"G.F.SMITH & SON(LONDON),LIMITED",0.44,A-,210,830,"1,280","1,294"
1238,AIRBUS DEFENCE AND SPACE LIMITED,221.01,C,"3,000","26,769","637,602","693,933"
1239,SEANIC OCEAN SYSTEMS LIMITED,4.34,D,12,487,298,298
1240,G4S SECURE SOLUTIONS (IRE) LIMITED,484.29,D,"1,664",783,"2,264","9,045"
1241,NEOS NETWORKS LIMITED,46.41,B+,237,"4,300","160,800","173,200"
1242,AAF SPARES LIMITED,438.08,B+,2,-448,"60,707","61,087"
1243,SYNCREON AUTOMOTIVE (UK) LTD.,235.57,D,566,-315,"2,543","2,989"
1244,CRUDEN BUILDING HOLDINGS LIMITED,54.11,D,352,"2,014",977,"1,076"
1245,PM BRENNAN FINANCIAL BROKERS LIMITED,2.03,D,8,65,55,568
1246,T-SYSTEMS LIMITED,662.75,D,469,"-2,093","10,165","25,694"
1247,LIBERTY PRESSING SOLUTIONS (COVENTRY) LIMITED,468.03,D,637,185,"15,829","13,778"
1248,NEWTON ABBOT RACES LIMITED(THE),21.25,A+,185,-176,"1,678","1,678"
1249,ADVANCED BUSINESS SOFTWARE AND SOLUTIONS LIMITED,114.25,D,794,"5,449","2,882","34,560"
1250,GCS HOTEL LIMITED,325.82,D,214,"4,567","4,469","4,469"
1251,MALVERN TYRES (WHOLESALE) LIMITED,262.28,D,198,353,"6,586","6,672"
1252,SCOTTISH SEA FARMS LIMITED,49.55,D,452,"58,798","79,774","85,163"
1253,RASCAL SOLUTIONS LIMITED,7.17,B+,57,"1,411",443,"3,010"
1254,ULTIMA PROPERTIES LIMITED,250.42,D,1,740,3,"26,753"
1255,THE CLAY OVEN UK LIMITED,246.18,D,24,-40,"13,923","14,053"
1256,EGIS ROAD & TUNNEL OPERATION IRELAND LIMITED,7.28,D,106,"1,701",115,115
1257,HOTCHKISS LTD,37.92,D,264,"1,488",797,906
1258,GARRIOCK BROS.LIMITED,24.08,D,138,"1,249","18,824","18,824"
1259,N.V.TOOLS LIMITED,43.19,D,78,16,971,"1,101"
1260,GALLIBOND LIMITED,116.34,B+,67,545,"2,087","2,088"
1261,CARMEL (GROUP) LIMITED,5.03,D,152,939,642,642
1262,MPL WEALTH MANAGEMENT LIMITED,3.9,D,14,806,24,80
1263,HARRY DALBY ENGINEERING LIMITED,16.84,D,125,"2,759","2,186","2,186"
1264,FRANKFIELD SUPERMARKETS LIMITED,122.6,D,144,234,"8,507","8,507"
1265,SHIRE CARE HOLDINGS LIMITED,204.99,D,163,-92,"6,759","6,779"
1266,EDWARDS COACHES LIMITED,52.02,D,633,"1,004","13,928","14,217"
1267,AT HOLDINGS LIMITED,64.16,D,124,268,880,880
1268,LONDON SQUARE LIMITED,133.43,D,142,"6,339","1,003","7,017"
1269,HIGHQ SOLUTIONS LIMITED,19.39,D,361,"-1,216","1,180","1,257"
1270,QUARTZINVEST LIMITED,29.57,B+,599,"1,551","15,842","15,913"
1271,POL ROGER LIMITED,33.4,D,20,623,619,619
1272,PREMIER VET ALLIANCE LIMITED,133.18,D,29,-807,29,533
1273,BIG SYNC MUSIC LIMITED,381.88,D,9,129,1,1
1274,AZURI TECHNOLOGIES LTD,86.83,B+,27,"-2,256",36,"4,470"
1275,W.BREWIN AND COMPANY LIMITED,45.2,B+,43,151,929,942
1276,GIBBERD LIMITED,188.34,B+,3,449,"1,514","1,514"
1277,HARMON (FORM TOOLS) LIMITED,94.37,B+,137,399,"4,444","4,417"
1278,KHS UK LTD.,83.76,D,34,"1,380",34,34
1279,PATMOND ENERGY LIMITED,0.07,D,6,"2,270",91,791
1280,FACEBOOK UK LTD,140.32,D,"1,965","96,600","89,177","89,227"
1281,FRED SHERWOOD GROUP LIMITED,39.83,D,452,"2,655","30,313","35,481"
1282,JEWELLERY QUARTER BULLION LIMITED,21.84,D,38,"1,598",182,182
1283,WEXFORD HERITAGE TRUST,12.75,U,28,-92,"1,907","1,907"
1284,LLOYD'S ANIMAL FEEDS (WESTERN) LIMITED,55.73,D,38,"1,219",166,166
1285,EURO ACCESSORIES LIMITED,15.41,D,43,522,964,964
1286,USAY BUSINESS LTD,4.57,D,140,"2,153",565,565
1287,NEWMAFRUIT FARMS LIMITED,6.01,B+,333,"1,958","18,016","18,017"
1288,HIGH PERFORMANCE SPORTS LTD,90.1,A+,93,0,"4,487","4,487"
1289,IAM FINANCE LIMITED,136.19,D,8,677,270,270
1290,HABITAT FIRST GROUP LIMITED,23.46,B+,52,"2,854","25,881","27,333"
1291,BABCOCK VEHICLE ENGINEERING LIMITED,62.36,D,364,"2,084","2,692","2,692"
1292,VOLGA DNEPR AIRLINES (IRELAND) LIMITED,54.23,D,2,"6,493","195,048","205,320"
1293,HIKMA PHARMACEUTICALS PUBLIC LIMITED COMPANY,58.97,B+,"8,413","230,000","682,000","1,433,000"
1294,STUDLEY ENGINEERING LIMITED,26.95,D,168,"1,498","1,065","1,065"
1295,DAMPER TECHNOLOGY LIMITED,73.89,D,38,-786,81,649
1296,HAGONDALE LIMITED,34.45,D,322,"14,399","46,367","45,221"
1297,KISH FISH COMPANY LIMITED,19.64,B+,112,597,"2,241","2,241"
1298,ACTIVE ELECTRONICS PLC,427.18,D,36,34,99,99
1299,SNOWDOME GROUP LIMITED,38.59,D,192,"2,386","11,981","11,984"
1300,ALBAVET LIMITED,32.3,D,119,508,274,"1,408"
1301,C&C GROUP HOLDINGS LIMITED,5.04,D,71,"1,586",688,688
1302,LOUTH CARE LIMITED,387.06,D,87,313,"6,308","6,308"
1303,EXERTIS SUPPLY CHAIN SERVICES LIMITED,38.21,D,42,"3,716",20,"2,098"
1304,WANTED CLOTHING LIMITED,110.64,D,26,865,"1,915","1,915"
1305,TRELLEBORG INDUSTRIAL TYRES UK LIMITED,12.74,D,34,-488,95,210
1306,K K B REMEDIATION LIMITED,138.88,D,6,86,522,522
1307,DIALOG SEMICONDUCTOR (UK) LIMITED,59.9,D,371,"62,991","5,112","72,007"
1308,BARABINO & PARTNERS UK PLC,82.12,D,4,180,2,2
1309,BEMYEYE HOLDINGS LIMITED,0.99,A+,51,"-3,883",59,"2,717"
1310,DAVAN CARAVANS LIMITED,66.27,A+,45,-148,"1,765","1,765"
1311,HODGSON NEWCASTLE LIMITED,3.8,D,190,"1,066","14,623","15,000"
1312,HEATING PRODUCTS LIMITED,31.62,D,67,"5,878","1,149","1,968"
1313,COMMERCIAL DEVELOPMENT PROJECTS LIMITED,94.84,D,15,"9,375",110,110
1314,BLOOR INVESTMENTS LIMITED,14.32,D,"3,663","187,881","173,457","176,710"
1315,NEW CENTURY FOODS LIMITED,35.23,D,154,767,"1,505","1,505"
1316,WESSEX ADVANCED SWITCHING PRODUCTS LIMITED,9.89,D,98,"1,808",271,285
1317,ALGOMI LIMITED,23.6,D,64,"-4,911",970,971
1318,ORCHARD ENERGY LIMITED,66.04,D,71,"2,775",75,168
1319,HOVIS LIMITED,20.98,D,"2,878","6,261","54,819","113,391"
1320,CARITAS RECRUITMENT LTD,7.45,D,62,"1,823",12,33
1321,SONNET CARE HOMES (ESSEX) LIMITED,404.16,D,216,802,"9,104","9,104"
1322,AW SHIP MANAGEMENT LIMITED,49.8,D,26,-862,106,106
1323,RENAULT U.K. LIMITED,443.81,D,223,"17,598","2,330","2,375"
1324,STOLLE EMS GROUP LIMITED,84.37,D,163,467,"1,673","1,700"
1325,FLEMING MEDICAL (HOLDINGS) LIMITED,13.34,D,61,"1,927","2,679","2,679"
1326,PPC CREATIVE LIMITED,14.35,D,101,"1,889",898,898
1327,SKYSCANNER LIMITED,64.6,D,675,"42,995","4,624","39,396"
1328,BANDRUM NURSING HOME LIMITED,169.79,D,155,991,"5,310","5,310"
1329,MACGREGOR (GBR) LIMITED,117.45,D,39,-788,112,"5,068"
1330,BUILDING PRODUCT DESIGN LIMITED,1.59,D,217,"2,863","1,583","3,283"
1331,TRADEWISE INSURANCE SERVICES LIMITED,116.71,D,163,55,291,896
1332,RHAPSODY LIMITED,28.38,D,36,-15,355,355
1333,S. D. KELLS LIMITED,8.3,A+,173,"1,144","5,338","5,338"
1334,FRANK BROGAN LIMITED,61.02,B+,84,136,"5,803","5,803"
1335,P.C.T.I. SOLUTIONS LIMITED,101.23,D,128,"1,288",198,205
1336,WEATHERPROOFING ADVISORS LIMITED,8.85,D,120,737,424,424
1337,PROPERTY INFORMATION EXCHANGE LIMITED,242.4,D,65,-110,377,"10,521"
1338,CUSSINS (NORTH EAST) LIMITED,82.69,D,89,"3,401",62,62
1339,ELFREED LTD,58.79,B+,60,85,"1,411","3,887"
1340,FLAMEWOOD LIMITED,137.18,B+,35,321,"3,924","3,925"
1341,THERAVANCE BIOPHARMA IRELAND LIMITED,9.23,D,18,"-331,172",263,"1,137,561"
1342,SHAWTON ENGINEERING LIMITED,44.27,B+,93,388,292,452
1343,GATTACA PLC,114.12,A+,860,"-24,859","3,620","20,104"
1344,INDEPENDENT INVESTMENT ANALYSIS LIMITED,53.88,B+,41,"1,001",58,"1,621"
1345,MERIDIAN IT LIMITED,2.17,D,29,168,245,515
1346,ETEX (EXTERIORS) UK LIMITED,8.39,D,845,"2,300","48,900","83,400"
1347,DIACEUTICS IRELAND LIMITED,33.87,D,5,436,2,94
1348,WILDFIRE ENTERTAINMENT LIMITED,184.02,D,185,"1,438","2,178","2,178"
1349,J.L. PRIESTLEY & CO. LIMITED,68.65,C,17,"1,206",103,103
1350,WATERLINE LIMITED,182.81,D,173,750,"5,187","5,191"
1351,FILCO SUPERMARKETS LIMITED,4.16,D,243,-147,"7,067","10,311"
1352,MLS OPERATIONS LIMITED,534.9,D,333,188,"1,200","1,348"
1353,RYEMARC LIMITED,14.72,D,244,"1,576","4,651","4,656"
1354,SGS HOTELS (UK) LIMITED,111.5,C,68,-22,"12,919","12,964"
1355,KETTLE INTERIORS UK LIMITED,177.87,D,82,882,"3,984","4,014"
1356,GILBERT THOMPSON (LEEDS) LIMITED,79.73,B+,180,207,"7,040","7,273"
1357,ALBOX SERVICES LIMITED,0.07,D,3,-107,"3,301","3,301"
1358,XL RECORDINGS LIMITED,5.38,D,26,"16,538","3,949","4,154"
1359,SOUTHEND THEATRES LIMITED,42.57,D,180,215,446,446
1360,VENARI O&H LIMITED,n.s.,D,145,"-4,584","1,586","1,586"
1361,KNOX & WELLS HOLDINGS LIMITED,3.49,B+,70,444,736,"3,479"
1362,TREVOR SORBIE INTERNATIONAL LIMITED,183.8,D,84,-755,669,771
1363,EF SOLUTIONS (SERVICES) LTD,49.27,D,125,765,30,30
1364,ON LINE DESIGN & ENGINEERING LIMITED,31.25,D,116,"1,331",56,56
1365,CRYDER CAPITAL PARTNERS LLP,n.a.,D,n.a.,n.a.,n.a.,n.a.
1366,DAVID MORRIS INTERNATIONAL LIMITED,29.37,D,47,711,"3,399","9,279"
1367,OVE ARUP & PARTNERS IRELAND LIMITED,181.62,C,549,138,"2,322","7,878"
1368,ISBOYE ASSOCIATES LIMITED,112.26,D,41,297,"1,694","1,940"
1369,AEROMOBILE COMMUNICATIONS LIMITED,12.65,D,18,"6,107",638,"3,961"
1370,SMYLIE LIMITED,436.38,B+,61,240,"2,237","2,237"
1371,DESTINOLOGY LIMITED,28.92,D,135,276,399,"2,228"
1372,GREEN AND FORTUNE LIMITED,13.89,D,97,423,"2,795","2,795"
1373,PERFECT COLOURS LIMITED,74.83,B+,55,130,641,641
1374,MB AIR SYSTEMS LIMITED,22.72,D,86,"1,819",238,238
1375,QRO SOLUTIONS LIMITED,2.88,D,10,117,45,45
1376,SETOO GROUP LIMITED,0.98,B+,8,"-3,617",28,28
1377,FAMEVALLEY LIMITED,363.09,A+,75,292,"1,140","2,206"
1378,HARBOUR & JONES LIMITED,80.49,D,556,"2,825",579,"4,945"
1379,CARE WORLDWIDE (WEDNESBURY) LIMITED,193.61,D,93,-27,"5,532","5,532"
1380,ABACUS LIGHTING LIMITED,10.48,D,164,662,597,"1,222"
1381,EDGE RESTAURANTS (NW) LIMITED,226.83,D,802,"1,120","3,909","9,653"
1382,GUESTLINE LIMITED,2.58,D,213,"1,327",821,"2,697"
1383,OMC MOTOR HOLDINGS LIMITED,2.61,A+,166,"1,089","5,649","9,454"
1384,CARTY BUILDING CONTRACTORS LTD.,26.24,D,54,444,388,388
1385,ELECTRO RENT LV LTD,95.16,D,20,"4,624","6,493","6,563"
1386,TREMCO CPG UK LIMITED,52.92,D,189,-216,"3,828","81,980"
1387,EARTHLINE EXCHANGE LIMITED,47.45,D,194,"2,071","19,887","50,240"
1388,CYIENT EUROPE LIMITED,260.52,D,443,"1,279","2,023","4,276"
1389,EDENVILLE ENERGY PLC,8.45,A+,38,"-1,786","1,139","6,915"
1390,CIRRUS LOGIC INTERNATIONAL SEMICONDUCTOR LTD.,42.03,D,414,"247,304","26,988","112,332"
1391,CLARKE MACHINERY LIMITED,22.11,B+,60,691,"1,875","1,888"
1392,AUTO CONVERSIONS LIMITED,3.75,D,86,"1,879","1,329","1,392"
1393,OMEGA LEASING (NO.10) LIMITED,392.98,D,2,"3,349","125,333","125,333"
1394,SANTOS VISION LIMITED,4.95,B+,22,"1,845",132,418
1395,LOOKRICH LTD,0.98,B+,61,"1,403","1,614","1,614"
1396,ITALK AFFILIATE TELECOMMUNICATIONS LTD,108.31,D,150,59,"1,258","1,258"
1397,NIIT (IRELAND) LIMITED,451.96,D,20,355,50,50
1398,KORN FERRY (UK) LIMITED,763.9,D,363,"-1,043",490,967
1399,NEWBRIDGE CARE SYSTEMS LIMITED,0.59,D,57,"1,012","3,163","3,163"
1400,ABP (LONDON) INVESTMENT LIMITED,342.69,D,22,-143,330,"7,433"
1401,MACMILLAN PUBLISHERS INTERNATIONAL LIMITED,38.37,D,601,"2,969","10,693","34,726"
1402,BIBBY INVOICE FINANCE UK LIMITED,593.18,D,361,"32,635",31,31
1403,BREEDON HOUSE NURSERIES LIMITED,92.94,C,631,"3,026","2,975","6,407"
1404,SWISSPORT FUELLING SERVICES UK LIMITED,23.97,D,24,539,765,765
1405,SUTTON HARBOUR GROUP PLC,68.09,D,32,"-2,502","23,973","43,028"
1406,TANDEM 1987 LIMITED,670.34,D,476,"3,930","9,181","52,948"
1407,CYCENE INVESTMENTS LIMITED,225.26,D,374,"2,696","14,852","27,676"
1408,ACUMEN FINANCIAL PLANNING LIMITED,9.17,D,40,893,195,810
1409,UK POWER NETWORKS SERVICES HOLDINGS LIMITED,155.77,D,229,"30,200","286,800","367,900"
1410,G.R.WRIGHT & SONS LIMITED,3.42,D,108,"6,034","23,430","23,430"
1411,CINE-UK LIMITED,397.55,D,"4,899","9,720","141,889","214,748"
1412,ABACUS DIRECT LIMITED,44.04,D,48,730,"1,726","1,726"
1413,QUINN INVESTMENT HOLDINGS (LONDON) LIMITED,0.14,B+,115,417,155,155
1414,F M CONWAY LIMITED,130.31,D,"1,469","12,184","97,516","164,722"
1415,HARTLEPOOL INVESTMENTS LIMITED,39.53,A+,118,"2,479","4,290","4,293"
1416,JOHN PYE & SONS HOLDINGS LIMITED,4.98,B+,353,"1,676","2,851","2,851"
1417,MANTANK ENVIRONMENTAL SERVICES LIMITED,132.88,D,89,759,"6,780","6,780"
1418,BENECOL LIMITED,4.56,D,15,"11,170",41,"66,801"
1419,"PROTO LABS, LIMITED",8.5,D,394,"7,604","15,840","35,984"
1420,BRITISH DENTAL ASSOCIATION,62.91,U,134,235,"3,358","4,332"
1421,SOUTH EAST LONDON DOCTORS CO OPERATIVE LIMITED,0.69,A-,193,138,353,353
1422,NORDAM TRANSPARENCY EUROPE LIMITED,0.83,D,8,"2,055",39,39
1423,CAPITA INSURANCE SERVICES LIMITED,1.14,D,374,"6,441",4,"3,598"
1424,KIMAL HOLDINGS LIMITED,0.25,B+,314,499,"2,900","3,738"
1425,SUMAC PRECISION ENGINEERING LIMITED,25.05,D,121,581,"2,694","2,729"
1426,E F STUDENT SERVICES LIMITED,526.38,D,84,589,"1,110","1,110"
1427,THE ABBEY HOTEL LIMITED,146.59,D,75,108,965,965
1428,NISA RETAIL LIMITED,333.71,D,327,"2,879","25,427","28,760"
