,Company name,"Gearing (%)
2018",BvD Independence Indicator,"Number of employees
2018","Profit (Loss) before Taxation
th GBP 2018","Tangible Assets
th GBP 2018","Fixed Assets
th GBP 2018"
76,LONGITUDE CONSULTING ENGINEERS LIMITED,92.57,D,29,505,17,18
77,SPEEDY PRODUCTS LIMITED,52.82,D,205,79,"3,366","3,397"
78,ATS EUROMASTER LIMITED,190.86,D,"2,309","-26,417","68,471","68,791"
79,G & G GALLO ENTERPRISES LIMITED,21.7,D,39,358,"1,549","2,278"
80,AGELLUS HOLDINGS LIMITED,111.85,D,214,-51,"14,118","14,118"
81,WARD THOMAS REMOVALS LIMITED,28.46,D,222,"3,037","2,705","4,468"
82,ZIP HEATERS (UK) LTD,8.29,D,211,"7,960","1,290","1,290"
83,SATO UK LIMITED,576.2,D,107,"-1,641","12,888","13,900"
84,WALKER LOGISTICS (HOLDINGS) LTD,438.02,B+,81,695,"17,075","17,563"
85,ORIOLE GLASS HOLDINGS LIMITED,78.76,D,122,"1,042","1,749","3,619"
86,KARRO MCGEE ROI LIMITED,106.39,D,176,"-1,191","1,236","1,236"
87,S. & V.E. WILLIAMS LIMITED,156.57,D,837,48,"3,926","4,457"
88,NEXT VENTURES LIMITED,223.57,D,97,"2,890",277,277
89,BEE-FEE LIMITED,225.37,D,3,27,357,410
90,H & H CARE HOMES LIMITED,465.96,D,71,319,28,28
91,MOVAC HOLDINGS LIMITED,478.69,D,110,-188,"1,858","2,021"
92,SARGINSONS INDUSTRIES LIMITED,152.74,D,77,343,943,943
93,TRIDONIC UK LIMITED,36.03,D,211,"4,115","5,950","5,950"
94,PARK CAMERAS HOLDINGS LIMITED,2.84,D,68,"1,648","2,340","2,340"
95,C. U. LIGHTING LIMITED,93.23,D,206,525,"1,305","1,305"
96,METRO GLOBAL HOLDINGS LIMITED,0.54,B+,116,"7,770",245,"6,156"
97,K2 CORPORATE MOBILITY LIMITED,23.7,D,55,121,35,"1,343"
98,MEDARTIS LIMITED,196.08,D,15,113,590,590
99,TOR SOLAR PV LIMITED,68.97,D,2,-17,"1,407","1,407"
100,MALCA-AMIT (U.K.) LIMITED,134.97,D,46,"1,556","6,693","6,774"
101,T.O.G. (UK) LIMITED,106.81,D,3,548,4,338
102,COMPUTYPE EUROPE LIMITED,52.25,D,64,179,"1,164","1,164"
103,JOHN A.TAYLOR & SONS LIMITED,3.69,D,7,353,56,56
104,YAKUTO LIMITED,122.53,D,12,426,40,40
105,CITY SHOES (WHOLESALE) LIMITED,293.75,B+,20,1,55,55
106,CULINA LOGISTICS LIMITED,14.37,D,"1,638","9,955","20,764","90,401"
107,777 DEMOLITION & HAULAGE CO. LIMITED,60.46,D,3,-871,"21,121","21,121"
108,CHARCO 2010 LIMITED,1,B+,258,571,"2,874","5,007"
109,FUN & FRIES LTD,583.46,D,441,45,"2,114","2,718"
110,A.T.WATKINSON LIMITED,9.14,B+,10,30,0,0
111,PHOENIX SURFACING LIMITED,11.81,D,48,827,997,"1,047"
112,BEACHCROFT HOLDINGS LIMITED,198.07,B+,"1,413","4,369","93,517","96,745"
113,LEWIS CIVIL ENGINEERING LIMITED,14.09,D,218,"2,259","1,427","2,232"
114,MOVEACTION LIMITED,661.94,D,2,68,14,758
115,THE LIMERICK RACE COMPANY PUBLIC LIMITED COMPANY,329.66,A+,10,94,"13,101","13,115"
116,TOTAL TILES LTD,13.75,D,20,374,169,169
117,LANDWAYS MANAGEMENT LIMITED,694.46,D,9,107,443,443
118,M.M. BELLINGER AND SONS LIMITED,16.16,D,62,-67,"1,802","1,802"
119,THURLOW NUNN (HOLDINGS) LIMITED,172.6,D,641,"-2,363","17,328","19,878"
120,FRYLITE (DUBLIN) LIMITED,,D,67,606,"2,004","2,249"
121,WILLMOTT DIXON HOLDINGS LIMITED,10.06,D,"2,160","35,515","4,527","27,562"
122,SCOTBEEF LIMITED,12.89,D,849,"5,307","15,810","16,077"
123,ENERGIZER AUTO UK LIMITED,127.84,D,56,"1,173","1,406","2,007"
124,H. YOUNG STRUCTURES LIMITED,7.92,D,52,680,363,363
125,WREN STERLING FINANCIAL PLANNING LIMITED,299.65,D,183,-531,567,"4,535"
126,CARNABY CARAVANS GROUP LIMITED,47.48,D,137,"3,409","1,578","1,578"
127,HAYS SPECIALIST RECRUITMENT LIMITED,77.69,D,"2,818","49,104","4,894","27,675"
128,LIEBHERR-RENTAL LIMITED,167.56,D,12,-789,"16,847","16,847"
129,WELCOMM COMMUNICATIONS LIMITED,4.43,D,61,917,499,500
130,PHARMEXX UK LIMITED,34.89,D,44,-299,5,5
131,EASTWOOD GROUP HOLDINGS LIMITED,278.71,D,53,144,"9,024","9,024"
